time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,rain,hummax,humavg,hummin
2000-01-01,10,0.6,19.4,0,0,,4.7,,1024.3,,0,100,73.6,40
2000-01-02,13.9,6.1,21.1,0,0,,12.2,,1023.5,,0,86,73.2,56
2000-01-03,18.3,12.8,23.3,0,0,208,16.6,,1021,,0,100,81.9,51
2000-01-04,16.7,10.6,22.8,8.6,0,218,25.6,,1012,,1,100,84.2,59
2000-01-05,3.9,-2.8,10.6,0,0,,9.4,,1024.3,,0,92,57.5,37
2000-01-06,3.3,-3.9,10.6,0,0,,4.7,,1032.2,,0,96,68.8,46
2000-01-07,7.2,-0.6,14.4,2,0,,5,,1027.1,,1,100,70.9,27
2000-01-08,4.4,-3.3,12.2,0.5,0,,4,,1027.7,,1,92,61.7,30
2000-01-09,8.3,5,11.1,12.2,0,,5.4,,1019.5,,1,100,91,0
2000-01-10,13.3,7.8,18.9,26.2,0,219,18.7,,1008.3,,1,100,87.4,55
2000-01-11,13.9,6.1,21.1,0,0,248,20.2,,1012.7,,0,68,41.6,16
2000-01-12,7.8,-0.6,16.1,0,0,,6.5,,1022.7,,0,85,43.4,19
2000-01-13,12.2,3.3,21.1,0,0,254,21.2,,1016.2,,0,80,53.4,14
2000-01-14,-0.6,-4.4,3.3,0,0,,10.4,,1035.4,,0,48,34.9,21
2000-01-15,0,-7.2,6.7,0,0,,8.6,,1037.8,,0,74,44,27
2000-01-16,10,2.8,17.2,0,0,249,19.4,,1024.9,,0,47,39.4,29
2000-01-17,4.4,-1.7,10.6,0,0,,13,,1028.3,,0,48,30.9,17
2000-01-18,-2.8,-5.6,-0.6,4.8,25,,5,,1020.8,,1,100,87.8,25
2000-01-19,0,-4.4,4.4,0,51,,6.1,,1016.4,,0,100,86.6,65
2000-01-20,2.8,-1.7,7.2,6.6,51,281,16.2,,1005.3,,1,100,83.4,36
2000-01-21,-2.2,-6.1,1.1,0,0,,11.5,,1016.9,,0,63,37.1,24
2000-01-22,-3.9,-8.3,0.6,0.3,0,,4.3,,1023.8,,1,93,60.2,23
2000-01-23,-1.1,-2.8,0,8.6,0,58,8.6,,1019,,1,100,95.5,88
2000-01-24,0.6,-1.7,2.2,8.6,51,24,17.3,,1012.9,,1,100,92.8,86
2000-01-25,-1.1,-5,2.2,51.6,432,314,16.6,,1001.3,,1,100,81.3,55
2000-01-26,-5,-10.6,0.6,0,508,,9,,1012.5,,0,81,52.9,42
2000-01-27,-6.1,-12.2,-0.6,0,305,,7.9,,1025.4,,0,87,53.8,32
2000-01-28,-6.7,-17.2,3.9,0,254,,1.4,,1034.2,,0,91,54.5,17
2000-01-29,-5.6,-13.9,2.2,1.5,203,,7.6,,1034.5,,1,92,62.8,32
2000-01-30,-0.6,-1.1,0,27.7,178,,8.6,,1023.8,,1,100,94.8,85
2000-01-31,-1.7,-5,1.1,0,178,267,9.7,,1018.3,,0,100,86.4,70
2000-02-01,-1.1,-7.2,4.4,0,152,,10.1,,1019.6,,0,100,72.1,50
2000-02-02,-0.6,-6.7,5,0,102,,6.5,,1025,,0,84,61.5,35
2000-02-03,2.2,-5.6,9.4,0,51,,15.5,,1016.2,,0,85,58.1,37
2000-02-04,4.4,-1.7,10.6,0,51,,6.1,,1012.1,,0,85,58.2,41
2000-02-05,1.7,-4.4,7.8,0,25,,8.3,,1022.3,,0,81,59.7,39
2000-02-06,3.3,-3.3,10,0,0,,5.4,,1028.3,,0,81,52.5,29
2000-02-07,7.8,0,15,0,0,,8.3,,1023.8,,0,85,57.6,27
2000-02-08,3.9,-1.7,8.9,0,0,,11.5,,1029.3,,0,89,65.4,48
2000-02-09,5.6,-2.2,12.8,0,0,,3.2,,1024,,0,92,71.9,43
2000-02-10,7.2,-3.3,17.8,0,0,,4.3,,1016,,0,100,63,30
2000-02-11,15.6,8.9,22.2,0,0,,12.2,,1011.9,,0,77,54,36
2000-02-12,6.1,0,11.7,18.5,0,43,15.8,,1020.9,,1,100,89.1,63
2000-02-13,2.8,-0.6,5.6,0.3,0,,6.1,,1021.9,,1,100,86.6,70
2000-02-14,12.2,5,18.9,6.9,0,248,16.2,,1008.9,,1,100,83.1,60
2000-02-15,7.2,2.2,12.2,0,0,,6.8,,1021.5,,0,76,53.6,40
2000-02-16,12.2,3.9,20,0,0,,15.8,,1020.7,,0,83,66.1,45
2000-02-17,8.3,3.9,12.2,0,0,57,15.1,,1030,,0,63,45.4,31
2000-02-18,5,0,9.4,11.7,0,,13,,1025.1,,1,100,82.4,50
2000-02-19,12.8,5.6,20,0.3,0,267,16.6,,1015.4,,1,96,77.7,53
2000-02-20,5.6,-0.6,11.1,0,0,,6.5,,1025.9,,0,88,57.3,35
2000-02-21,3.9,-2.8,10.6,0,0,,4,,1031.5,,0,88,63,38
2000-02-22,5.6,-2.8,13.9,0,0,,3.2,,1033.3,,0,96,81.1,50
2000-02-23,8.9,-1.1,18.9,0,0,,4.7,,1032.3,,0,,,
2000-02-24,13.3,5,21.7,0,0,,10.1,,1028.2,,0,,,
2000-02-25,17.8,10,25.6,0,0,221,10.8,,1025,,0,,,
2000-02-26,17.2,10,24.4,0,0,,10.4,,1026.1,,0,,,
2000-02-27,17.2,11.7,22.2,17.8,0,,13.3,,1022.1,,1,,,
2000-02-28,12.2,6.7,17.2,0.5,0,,9.7,,1021.9,,1,,,
2000-02-29,8.9,-1.1,18.3,0,0,,1.8,,1025,,0,62,55.5,46
2000-03-01,12.8,2.8,22.8,0,0,,12.2,,1016.9,,0,86,63.4,41
2000-03-02,12.2,7.2,16.7,0,0,,10.1,,1012.9,,0,100,50.7,25
2000-03-03,8.3,0.6,16.1,0,0,,5,,1015.1,,0,79,43.8,22
2000-03-04,6.7,1.1,11.7,0,0,,5,,1010.9,,0,97,68.3,38
2000-03-05,10,-1.1,20.6,0,0,,5.4,,1014.3,,0,100,63.1,26
2000-03-06,12.2,2.2,21.7,0,0,,4,,1020.7,,0,93,58.8,29
2000-03-07,15,6.7,23.3,0,0,,9.7,,1024,,0,83,51.2,34
2000-03-08,18.9,8.9,28.9,0,0,,11.9,,1018.1,,0,83,54.2,26
2000-03-09,19.4,12.2,26.7,0,0,228,19.8,,1013.1,,0,80,59,40
2000-03-10,18.9,11.1,26.7,0,0,,7.9,,1015.8,,0,100,60.4,30
2000-03-11,21.1,14.4,27.2,3,0,211,22,,1012.3,,1,100,70.8,38
2000-03-12,8.9,2.2,15.6,0,0,297,18,,1012.3,,0,97,59.3,35
2000-03-13,5,-2.2,11.7,0,0,,6.1,,1026.8,,0,79,51,25
2000-03-14,7.8,-2.2,17.2,0,0,,4,,1026.7,,0,96,60.3,25
2000-03-15,12.2,3.3,21.1,0,0,,5.8,,1025.4,,0,83,51.8,27
2000-03-16,13.9,8.3,19.4,10.2,0,,11.5,,1018.3,,1,100,92,47
2000-03-17,12.2,5,19.4,0.3,0,305,18.4,,1015.4,,1,97,60.2,24
2000-03-18,3.9,-1.1,8.9,0,0,66,15.5,,1032.2,,0,73,50.3,37
2000-03-19,7.8,0,15,0,0,69,14.8,,1027.8,,0,89,73.4,61
2000-03-20,10,8.3,11.7,17.3,0,84,21.2,,1019.7,,1,100,92.2,72
2000-03-21,9.4,6.7,11.7,0.3,0,,12.6,,1021.9,,1,100,90.6,67
2000-03-22,8.9,5,12.8,0,0,,15.1,,1024.6,,0,97,81.9,72
2000-03-23,12.2,7.2,17.2,0,0,36,14,,1025.7,,0,97,79.1,50
2000-03-24,12.2,2.8,21.1,0,0,,3.6,,1022.5,,0,100,76.6,46
2000-03-25,16.7,8.3,25,1.5,0,222,15.8,,1017,,1,100,66.8,40
2000-03-26,15,7.2,22.8,0,0,,9,,1010.8,,0,100,56.6,23
2000-03-27,12.2,4.4,20,11.2,0,,10.4,,1001.1,,1,100,91.9,70
2000-03-28,13.3,5.6,21.1,0,0,,15.5,,997.2,,0,96,57.8,26
2000-03-29,11.1,5,16.7,0,0,,10.4,,1011.5,,0,74,47.6,29
2000-03-30,10.6,7.2,13.9,1,0,,5.4,,1014.2,,1,100,83.9,61
2000-03-31,11.7,4.4,18.9,0,0,,7.9,,1018.6,,0,100,67.7,35
2000-04-01,12.8,3.9,21.1,0,0,,10.1,,1024.1,,0,100,62.9,40
2000-04-02,16.1,11.1,21.1,0.3,0,206,13.7,,1021,,1,94,78.9,57
2000-04-03,22.2,16.7,27.2,1.3,0,206,22.3,,1014.4,,1,97,81.7,58
2000-04-04,13.3,6.7,20,1.3,0,244,24.1,,1006.3,,1,93,70.8,39
2000-04-05,7.8,0,15.6,0,0,,13,,1016.2,,0,76,46.5,25
2000-04-06,16.1,6.1,26.1,0,0,229,20.9,,1013,,0,65,49,35
2000-04-07,20,11.7,28.3,0,0,219,16.6,,1013.8,,0,80,56.9,33
2000-04-08,15,6.1,23.9,16.8,0,228,24.5,,1007.5,,1,100,76.9,45
2000-04-09,9.4,3.3,15.6,0,0,275,18.4,,1017,,0,60,45.1,25
2000-04-10,13.3,3.3,22.8,0,0,228,12.2,,1022.9,,0,79,51,33
2000-04-11,18.3,12.2,24.4,0,0,216,22,,1023.2,,0,77,55.7,43
2000-04-12,17.8,11.7,23.9,0,0,,15.1,,1022.3,,0,93,65.8,43
2000-04-13,8.3,4.4,11.7,9.7,0,42,16.6,,1029.8,,1,100,88.8,52
2000-04-14,8.9,5,12.8,4.1,0,31,14,,1025.2,,1,100,99.6,96
2000-04-15,15,12.2,17.8,8.9,0,,7.9,,1018,,1,100,100,100
2000-04-16,20,15,25,0.3,0,,6.5,,1016.2,,1,100,88.9,60
2000-04-17,20,13.3,26.7,14.5,0,,10.1,,1011.1,,1,100,79.1,48
2000-04-18,11.1,7.8,13.9,2,0,12,16.6,,1009.2,,1,100,96.5,89
2000-04-19,15,7.8,21.7,0,0,,13,,1015.3,,0,100,78.8,55
2000-04-20,16.1,8.3,23.3,0,0,,13,,1016.7,,0,100,78.7,59
