Date,HumidityMax,HumidityAvg,HumidityMin
2000-01-01,100.0,73.6,40.0
2000-01-02,86.0,73.2,56.0
2000-01-03,100.0,81.9,51.0
2000-01-04,100.0,84.2,59.0
2000-01-05,92.0,57.5,37.0
2000-01-06,96.0,68.8,46.0
2000-01-07,100.0,70.9,27.0
2000-01-08,92.0,61.7,30.0
2000-01-09,100.0,91.0,0.0
2000-01-10,100.0,87.4,55.0
2000-01-11,68.0,41.6,16.0
2000-01-12,85.0,43.4,19.0
2000-01-13,80.0,53.4,14.0
2000-01-14,48.0,34.9,21.0
2000-01-15,74.0,44.0,27.0
2000-01-16,47.0,39.4,29.0
2000-01-17,48.0,30.9,17.0
2000-01-18,100.0,87.8,25.0
2000-01-19,100.0,86.6,65.0
2000-01-20,100.0,83.4,36.0
2000-01-21,63.0,37.1,24.0
2000-01-22,93.0,60.2,23.0
2000-01-23,100.0,95.5,88.0
2000-01-24,100.0,92.8,86.0
2000-01-25,100.0,81.3,55.0
2000-01-26,81.0,52.9,42.0
2000-01-27,87.0,53.8,32.0
2000-01-28,91.0,54.5,17.0
2000-01-29,92.0,62.8,32.0
2000-01-30,100.0,94.8,85.0
2000-01-31,100.0,86.4,70.0
2000-02-01,100.0,72.1,50.0
2000-02-02,84.0,61.5,35.0
2000-02-03,85.0,58.1,37.0
2000-02-04,85.0,58.2,41.0
2000-02-05,81.0,59.7,39.0
2000-02-06,81.0,52.5,29.0
2000-02-07,85.0,57.6,27.0
2000-02-08,89.0,65.4,48.0
2000-02-09,92.0,71.9,43.0
2000-02-10,100.0,63.0,30.0
2000-02-11,77.0,54.0,36.0
2000-02-12,100.0,89.1,63.0
2000-02-13,100.0,86.6,70.0
2000-02-14,100.0,83.1,60.0
2000-02-15,76.0,53.6,40.0
2000-02-16,83.0,66.1,45.0
2000-02-17,63.0,45.4,31.0
2000-02-18,100.0,82.4,50.0
2000-02-19,96.0,77.7,53.0
2000-02-20,88.0,57.3,35.0
2000-02-21,88.0,63.0,38.0
2000-02-22,96.0,81.1,50.0
2000-02-29,62.0,55.5,46.0
2000-03-01,86.0,63.4,41.0
2000-03-02,100.0,50.7,25.0
2000-03-03,79.0,43.8,22.0
2000-03-04,97.0,68.3,38.0
2000-03-05,100.0,63.1,26.0
2000-03-06,93.0,58.8,29.0
2000-03-07,83.0,51.2,34.0
2000-03-08,83.0,54.2,26.0
2000-03-09,80.0,59.0,40.0
2000-03-10,100.0,60.4,30.0
2000-03-11,100.0,70.8,38.0
2000-03-12,97.0,59.3,35.0
2000-03-13,79.0,51.0,25.0
2000-03-14,96.0,60.3,25.0
2000-03-15,83.0,51.8,27.0
2000-03-16,100.0,92.0,47.0
2000-03-17,97.0,60.2,24.0
2000-03-18,73.0,50.3,37.0
2000-03-19,89.0,73.4,61.0
2000-03-20,100.0,92.2,72.0
2000-03-21,100.0,90.6,67.0
2000-03-22,97.0,81.9,72.0
2000-03-23,97.0,79.1,50.0
2000-03-24,100.0,76.6,46.0
2000-03-25,100.0,66.8,40.0
2000-03-26,100.0,56.6,23.0
2000-03-27,100.0,91.9,70.0
2000-03-28,96.0,57.8,26.0
2000-03-29,74.0,47.6,29.0
2000-03-30,100.0,83.9,61.0
2000-03-31,100.0,67.7,35.0
2000-04-01,100.0,62.9,40.0
2000-04-02,94.0,78.9,57.0
2000-04-03,97.0,81.7,58.0
2000-04-04,93.0,70.8,39.0
2000-04-05,76.0,46.5,25.0
2000-04-06,65.0,49.0,35.0
2000-04-07,80.0,56.9,33.0
2000-04-08,100.0,76.9,45.0
2000-04-09,60.0,45.1,25.0
2000-04-10,79.0,51.0,33.0
2000-04-11,77.0,55.7,43.0
2000-04-12,93.0,65.8,43.0
2000-04-13,100.0,88.8,52.0
2000-04-14,100.0,99.6,96.0
2000-04-15,100.0,100.0,100.0
2000-04-16,100.0,88.9,60.0
2000-04-17,100.0,79.1,48.0
2000-04-18,100.0,96.5,89.0
