OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,CREATED_DATE,LAST_EDITED_DATE,SHAPEAREA,SHAPELEN
2382513,Brassfield Elementary,26.78642405,WAKE COUNTY,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,1166816.63148189,5661.72698722512
2382514,Greenway,5.99605414,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE, , , ,,,,,261188.118140382,3566.06648129891
2382515,Main Street Park,35.79114742,TOWN OF ROLESVILLE,ROLESVILLE,PARK, ,, ,,,,,1559062.38169778,7048.97434669266
2382516,Furches,0.52865253,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,23028.1041806949,1208.71840974308
2382517,Strickland Road Park,36.09784546,CITY OF RALEIGH,RALEIGH,PARK, ,, ,,,,,1572437.09871197,5199.12237540028
2382518,Baileywick Elementary,15.01135227,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,653898.004208658,3356.5955839281
2382519, ,20.09617308,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,858024.141224584,6321.5251125854
2382520,,2.45868313,CITY OF RALEIGH EASEMENT,RALEIGH,GREENWAY,,,,,,,,107100.23704294,1636.39658118856
2382521,,6.49570453,CITY OF RALEIGH EASEMENT,RALEIGH,GREENWAY,,,,,,,,277690.59612049,3798.11751568843
2382522,OS-023,116.81094179,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE, ,PARTNERSHIP,950,RICHLAND CREEK,OS-023,,2019/06/27 15:16:29+00,5088284.62456634,9344.44337998635
2382523, ,3.15860589,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY, , , ,,,,,137588.872376124,2273.83423846051
2382524,Taylor Street Park,1.05700944,TOWN OF WAKE FOREST,WAKE FOREST,PARK, , , ,,,,,46043.3311882694,944.465236306863
2382525,Wake Forest Reservoir Park,141.72337555,TOWN OF WAKE FOREST,WAKE FOREST,PARK, , , ,,,,,6223036.70113523,17010.7597802063
2382526,Ailey Young Park,16.11894586,TOWN OF WAKE FOREST,WAKE FOREST,PARK, , , ,,,,,702174.069289877,4874.22698438553
2382527,Tyler Run Park,8.03472528,TOWN OF WAKE FOREST,WAKE FOREST,PARK,,,,,,,,349992.63326748,3208.68032801324
2382528,,0.41441797,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,,,,,18052.0469841229,828.327454547775
2382529,Smith Creek Soccer Center,16.7865701,TOWNOF WAKE FOREST,WAKE FOREST,PARK,,,,SMITH CREEK,,,,731222.993635286,5185.2567390946
2382530,Smith Creek Greenway,32.35794695,STATE OF NORTH CAROLINA,WAKE FOREST,GREENWAY,,,,SMITH CREEK,,,,1409502.83306401,15945.7901552083
2382531,Wake Forest-Rolesville Middle,20.67181967,WAKE COUNTY BOARD OF EDUCATION,WAKE FOREST,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,134,,,,,900465.040023799,4118.14631795088
2382532,,2.61593903,TOWN OF KNIGHTDALE,KNIGHTDALE,OPEN SPACE, , ,,MINGO CREEK,,,,113950.304034401,2072.85960413821
2382533,White Deer Park,95.19983031,TOWN OF GARNER,GARNER,PARK,,,,,,,,4146904.60816671,9529.99813562422
2382534,Pleasant Union Elementary,24.0460525,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,773,,,,,1047446.0471089,4576.23580308388
2382535,Jones Dairy Elementary,19.94181304,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,868665.375837321,3708.64854098056
2382536,Heritage Middle / Elementary School,57.56303737,WAKE COUNTY BOARD OF EDUCATION,WAKE FOREST,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,91,,,,,2504566.9828196,6598.51874717637
2382537,Wakefield Schools,109.78788411,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,4782360.23197473,9081.01534983824
2382538,Smith Creek Greenway,27.12929071,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY, , , ,SMITH CREEK,,,,1181751.90324723,12573.2556819033
2382539,Future Park,130.60892967,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,,,5689324.97640288,13130.1076119896
2382540,,0.14597518,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,6358.67887728883,461.846896812256
2382541,Richland Creek Greenway,27.46593284,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,RICHLAND CREEK,,,,1195259.7681994,7448.24518272811
2382542,Durant Road Middle School,34.36721473,WAKE COUNTY,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,1497035.87367013,5725.42540641282
2382543,Honeycutt Park,29.99250751,CITY OF RALEIGH,WAKE COUNTY,PARK, , , ,,,,,1306473.6271194,5487.62494182435
2382544, ,9.68426082,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,422223.713501467,6497.84061487531
2382545,Durant Road Elementary,18.83352093,WAKE COUNTY,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,820388.17189769,4616.59628007582
2382546, ,0.83770482,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,36490.4221175395,1257.38619376094
2382547,Wildwood Forest Elementary,14.32640534,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,84,,,,,624058.21680837,3767.53082403201
2382548, ,2.36249225,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,102910.162404566,1715.61125643239
2382549, ,0.88898415,HEATHROW HOMEOWNERS ASSOCIATION,RALEIGH,GREENWAY, , ,,,,,,38724.1497775706,893.900725227103
2382550, ,1.25099951,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,HARE SNIPE CREEK,,,,54493.538778402,1118.1493558149
2382551, ,0.16198523,WAKE COUNTY,RALEIGH,MITIGATION, , , ,,,,,7056.07640262547,355.509445415966
2382552,Lead Mine Elementary,19.43594186,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,846633.478481037,3909.19949379518
2382553,Leesville Road Schools,99.42459355,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,4321592.99913065,10379.0795590903
2382554, ,1.19008834,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,HARE SNIPE CREEK,,,,51645.3883118781,1114.55152690723
2382555,Fred G. Bond Metro Park,288.55249533,TOWN OF CARY,CARY,PARK,,,,CRABTREE CREEK,,,,12569346.6964127,27190.0789370281
2382556,,2.74152157,TOWN OF CARY,CARY,GREENWAY,,,,CRABTREE CREEK,,,,119420.679781754,9275.5791142367
2382557,Greenway Easement,1.09058004,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,BEAVERDAM CREEK,,,,47505.6666778136,1052.78907869478
2382558,Lake Lynn Trail,89.45354882,CITY OF RALEIGH / WAKE COUNTY,RALEIGH,GREENWAY, , ,609,HARE SNIPE CREEK,,,,3896596.58658102,21206.3296555063
2382559,Sawmill Trail,16.91350005,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,736752.062329701,7533.69980964475
2382560,Horseshoe Park,157.58252182,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,,,3602593.55218443,7464.78494834598
2382561,Bent Creek Trail,11.22961976,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,489162.236857587,8286.42150046444
2382562,North Ridge Elementary,16.40879367,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,714767.052396882,3444.04197971213
2382563, ,0.49902261,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,21737.4249294112,603.131889894835
2382564,Tarheel Club Farm,4.05433141,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NEUSE RIVER,,,,657704.91734532,6392.027236239
2382565, ,3.51962737,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,153314.968233147,2240.24827073431
2382566,Sawmill Trail,63.89879749,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,2781406.24725046,22860.0759743024
2382567,Buffer,0.26761294,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,11657.2195231707,1173.93883489675
2382568,,5.03034259,STATE OF NORTH CAROLINA,WAKE COUNTY,GREENWAY,,,,LITTLE RIVER,,,,219121.869766972,1968.22869591614
2382569,Idolbrook Park,3.20274929,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,139511.759092132,2671.60515033899
2382570, ,2.08227828,WAKE COUNTY,RALEIGH,MITIGATION, , , ,,,,,90704.0801976625,1633.76855129175
2382571,Hillburn Drive Elementary,23.89877551,WAKE COUNTY,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,1041030.66118559,4171.12612972621
2382572, ,1.30202855,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,56716.36348397,1642.26170397947
2382573,Neuse River Greenway,188.9298039,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,NEUSE RIVER,,,,8229782.2576964,38360.4067447797
2382574,Brentwood Trail,3.45728552,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,MARSH CREEK,,,,150599.357290794,3534.93909979455
2382575,Reedy Creek Trail,137.54427629,STATE OF NORTH CAROLINA,RALEIGH,GREENWAY, , , ,HOUSE CREEK,,,,5991428.67525659,19211.4109830451
2382576, ,0.1867949,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,8136.78596713752,389.790398152013
2382577, ,0.44935893,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,PIGEON HOUSE BRANCH,,,,23295.059134912,1166.94441649971
2382578,Buffalo Creek Cypress Swamp,24.50440177,MEASUREMENTS GROUP INC,WAKE COUNTY,GREENWAY,WAKE COUNTY, , ,BUFFALOE CREEK,,,,1064072.79902909,4001.87603678353
2382579,Green Hope High ,72.47597445,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,3157053.44687701,7154.06035044334
2382580,,0.12257427,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,BEAVERDAM CREEK,,,,5339.3352912898,524.501477798294
2382581,Hymettus Woods Park,4.51610551,TRIANGLE GREENWAYS COUNCIL,RALEIGH,PARK,TRIANGLE GREENWAYS COUNCIL, , ,BEAVERDAM CREEK,,,,196721.555873672,2998.57450584399
2382582,,0.10839048,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,4721.48950857763,436.455196819358
2382583, ,0.40970511,WAKE COUNTY,RALEIGH,MITIGATION, , , ,,,,,17691.5492698079,794.38334872861
2382584,,0.21194802,CITY OF RALEIGH,RALEIGH,,,,,,,,2019/06/27 15:16:37+00,9232.45568317209,610.466672033582
2382585,Green Road Park,26.59849621,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,1158630.49474607,4300.57804247872
2382586, ,0.10353878,TOWN OF CARY,CARY,OPEN SPACE, , , ,,,,,4510.14934240862,360.833688869144
2382587,East Cary Middle School,34.14357563,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,786,,,,,1487294.15433791,5344.90906784273
2382588,Cary Elementary,14.27751249,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,796,,,,,621909.675055169,4020.27426748396
2382589, ,0.08759782,CITY OF RALEIGH,RALEIGH,, , , ,,,,2019/06/27 15:16:50+00,3815.76120621141,270.80187954669
2382590,Heater Park,1.49091421,TOWN OF CARY,CARY,PARK, , , ,,,,,64944.222833071,1258.39070792412
2382591,,68.58280909,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,OPEN SPACE,DOT, , ,MARKS CREEK,,,,2996634.16752469,10620.5079877605
2382592,Longview Lake,0.86853296,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,,,37833.2955386372,1107.13376474204
2382593,Bugg Elementary,13.97377046,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,BOARD OF EDUCATION, , ,,,,,608689.609882575,3139.04833775689
2382594,Little Rock Trail,2.44484741,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,108813.211121724,1801.99465149049
2382595,Worthdale Park,35.59259726,CITY OF RALEIGH,RALEIGH,PARK, , , ,WALNUT CREEK,,,,1550413.05856603,6359.09338245286
2382596,Little Rock Trail,3.07196969,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,,,133814.97631264,2482.64308596505
2382597,Swift Creek Elementary,11.31728536,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,132,,,,,492980.950126649,3602.0570759437
2382598,Sanderford Road Park,24.3540471,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,1060873.51238952,5294.40027365214
2382599,Peach Road Neighborhood Center,7.07043202,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,307988.018710154,2367.84181034909
2382600,NCSU Agricultural Research Land,1943.07088556,NORTH CAROLINA STATE UNIVERSITY,RALEIGH,RESEARCH,NCSU, , ,STEEP HILL CREEK,,,,74654912.4975773,75228.5268267735
2382601,Yates Mill Pond Elementary,23.82311274,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION,, ,,,,,1026998.41924177,5189.87505564551
2382602,Baucom Elementary,16.93543358,WAKE COUNTY BOARD OF EDUCATION,APEX,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,737707.486532529,3675.43646968681
2382603,Speight Branch Greenway,3.74554635,TOWN OF CARY,CARY,GREENWAY, , , ,SPEIGHT BRANCH,,,,163155.998921404,3830.27420087411
2382604,Lake Lynn Park,14.06206531,CITY OF RALEIGH,RALEIGH,PARK, , ,609,HARE SNIPE CREEK,,,,612543.565004999,3608.02523911023
2382605,Millbrook Exchange Park,69.5299026,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,3028722.55704095,8698.37556840316
2382606,Lynn Road Elementary,18.92038048,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,,,824171.773605339,4117.98604192226
2382607, ,1.38497828,CITY OF RALEIGH,RALEIGH,GREENWAY, ,EASEMENT, ,HARE SNIPE CREEK,,,,60329.6537562757,2107.31269334804
2382608,Roberts Park,7.19908773,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,313833.702642922,2297.31411054083
2382609,Combs Elementary,15.63506921,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,784,,,,,681070.580944679,3227.3045859961
2382610,Anderson Point River Access,12.60331859,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,,,549000.558808042,3131.08624148666
2382611,Kaplan Park,5.18826302,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,226000.73699979,2968.32367265039
