X,Y,OBJECTID,FULLNAME,NAME,ENTRANCENAME,ALIAS1,ALIAS2,JURISDICTION,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,RESTROOMS,Lat,Lon,Notes,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN,VEHICLEENTRANCE,GREENWAYENTRANCE,PEDESTRIANENTRANCE,PARKINGSTREET,PARKINGLOT,CAMPING
-78.5767341355403,35.9023677385607,1,Abbotts Creek Park - Abbotts Creek Elementary Driveway Entrance,Abbotts Creek Park,Abbotts Creek Elementary Driveway Entrance,Abbotts Creek Park,Abbotts Creek Park,City of Raleigh,"9950 Durant Road, Raleigh, NC",,https://raleighnc.gov/places/abbotts-creek-park,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.580328916846,35.901752409014,2,Abbotts Creek Park - Durrant Rd Entrance,Abbotts Creek Park,Durrant Rd Entrance,Abbotts Creek Park,Abbotts Creek Park,City of Raleigh,"9950 Durant Road, Raleigh, NC",,https://raleighnc.gov/places/abbotts-creek-park,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.579152523614,35.9046203667435,3,Abbotts Creek Park - Pedestrian Entrance,Abbotts Creek Park,Pedestrian Entrance,Abbotts Creek Park,Abbotts Creek Park,City of Raleigh,"9950 Durant Road, Raleigh, NC",,https://raleighnc.gov/places/abbotts-creek-park,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.7991473937867,35.5927996367919,4,Action Park - Wake Chapel Rd Entrance,Action Park,Wake Chapel Rd Entrance,,,Town of Fuquay-Varina,"609 Wake Chapel Road, Fuquay-Varina, NC","609 Wake Chapel Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/action-park-description.html,919-552-1430,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,35.591424,-78.801715,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.4976926068933,35.9824567433272,5,Ailey Young Park - E Juniper Ave Entrance,Ailey Young Park,E Juniper Ave Entrance,,,Town of Wake Forest,"800 E Juniper Ave, Wake Forest, NC","800 E Juniper Ave, Wake Forest, NC",http://www.wakeforestnc.gov/ailey-young-park.aspx,919-435-9560,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,35.981442,-78.492038,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.8148654075053,35.623282140365,6,Alston Ridge Park - Greenway Entrance,Alston Ridge Park,Greenway Entrance,,,Town of Fuquay-Varina,"6850 Hilltop-Needmore Road, Fuquay-Varina, NC","6850 Hilltop-Needmore Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/alston-ridge-park.html,919-552-1430,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,35.627916,-78.77952,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No,
-78.8125038142075,35.6230370332405,7,Alston Ridge Park - Hilltop Needmore Rd Entrance,Alston Ridge Park,Hilltop Needmore Rd Entrance,,,Town of Fuquay-Varina,"6850 Hilltop-Needmore Road, Fuquay-Varina, NC","6850 Hilltop-Needmore Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/alston-ridge-park.html,919-552-1430,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,35.627916,-78.77952,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,No,Yes,
-78.9182107701462,35.7943768004544,8,American Tobacco Trail - Copperleaf Pl Greenway Entrance,American Tobacco Trail,Copperleaf Pl Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
-78.9255201280045,35.7483966172355,9,American Tobacco Trail - Goodwin Rd Greenway Entrance,American Tobacco Trail,Goodwin Rd Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
-78.9238702565103,35.7736735305391,10,American Tobacco Trail - Green Level West Rd Greenway Entrance,American Tobacco Trail,Green Level West Rd Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
