,NAME,ADDRESS,CITY,STATE,PHONE_NUMBER
0,SUBWAY #12460,706 W PEACE ST,RALEIGH,NC,19198340605.0
1,CHECKERS PIZZA,2810 HILLSBOROUGH ST,RALEIGH,NC,19198326522.0
2,AVIATOR TASTING ROOM,209 TECHNOLOGY PARK  LN,FUQUAY VARINA,NC,19195672337.0
3,TAMARIND,8531-109 BRIER CREEK PKY,RALEIGH,NC,19194063473.0
4,Johnny's Pizza,1763 W Williams ST,APEX,NC,111111111111111.0
5,THE FALCON'S NEST AT ST. AUGUSTINE,1315 OAKWOOD AVE,RALEIGH,NC,19198217646.0
6,ELEVATION BURGER,8301 BRIER CREEK  PKY,RALEIGH,NC,19199992774.0
7,THE 19TH HOLE,1527 TRYON RD,RALEIGH,NC,19197729987.0
8,LATIN QUARTERS,7335 SIX FORKS  RD,RALEIGH,NC,19199008333.0
9,DUNKIN DONUTS/BASKIN ROBBINS #331785,7137 KNIGHTDALE BLVD,KNIGHTDALE,NC,19192179603.0
10,CLARK DINING HALL,221 JENSEN  DR,RALEIGH,NC,19195134680.0
11,McKimmon Corner Cafe,1101 GORMAN ST,RALEIGH,NC,19195158259.0
12,Pizza Hut # 1101,3691 NEW BERN  AVE,RALEIGH,NC,19199008096.0
13,DAILY PLANET CAFE,11   W JONES ST,RALEIGH,NC,19197078060.0
14,GROCERY BOY JR,1912 W GARNER RD,RALEIGH,NC,19197725018.0
15,FITZGERALD'S SEAFOOD RESTAURANT #1,308 SOUTHTOWN DR,ROLESVILLE,NC,19195623474.0
16,WAKE COUNTY DETENTION CENTER KITCHEN &amp; STAFF KITCHEN,3301 HAMMOND RD,RALEIGH,NC,
17,PEACE CHINA,13220 Strickland  RD,RALEIGH,NC,19196769968.0
18,HIBACHI 88,3416 POOLE RD,RALEIGH,NC,19192311688.0
19,PDQ WAKE FOREST,11690 NORTHPARK DR,WAKE FOREST,NC,19196484221.0
20,SONIC DRIVE IN #6020,1925 S MAIN ST,WAKE FOREST,NC,19195541209.0
21,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR,APEX,NC,19193316035.0
22,DUCK DONUTS,8323 CREEDMOOR RD,RALEIGH,NC,19198478300.0
23,RALEIGH RAW,7 W HARGETT ST,RALEIGH,NC,19194000944.0
24,Tremor,410 GLENWOOD AVE,RALEIGH,NC,19198335535.0
25,D'ANDREA'S DELI GRILL &amp; BAKERY,114 GRAND HILL PL,HOLLY SPRINGS,NC,19193212010.0
26,SERGIO'S,7440 LOUISBURG RD,RALEIGH,NC,19198763116.0
27,Linus &amp; Pepper's,126 S SALISBURY ST,RALEIGH,NC,19196492154.0
28,TRIBECA TAVERN,6004 FALLS OF NEUSE  RD,RALEIGH,NC,19197909992.0
29,Primo Pizza NY Style,682 CARY TOWNE BLVD,CARY,NC,19193802729.0
30,HARVEST SUNDRIES &amp; DELI,411 FAYETTEVILLE ST,RALEIGH,NC,19198329720.0
31,Antonio's Gourmet Market & Papas,8460-112 HONEYCUTT RD,RALEIGH,NC,111111919887.0
32,DUNKIN' DONUTS #348417,3817 WESTERN BLVD,RALEIGH,NC,19198586501.0
33,BOTTLE MIXX,8111 CREEDMOOR RD,RALEIGH,NC,19196151703.0
34,WHITE STREET BREWING CO,218 S WHITE ST,WAKE FOREST,NC,19196479439.0
35,CAFE SOO,2106  HILLSBOROUGH ST,RALEIGH,NC,19198342244.0
36,FOUR BROTHERS PIZZA,3919 NEW BERN AVE,RALEIGH,NC,19192310003.0
37,Sukhadia's Indian Cuisine,6715 Hillsborough Street,RALEIGH,NC,19193891200.0
38,WENDELL MART,2901 WENDELL BLVD,WENDELL,NC,19193656686.0
39,SUBWAY,1561 E WILLIAMS ST,APEX,NC,19193677785.0
40,BROOKS STREET BOWL,413 BROOKS  ST,WAKE FOREST,NC,19194881651.0
41,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE,RALEIGH,NC,19194363995.0
42,THE YARD HOUSE #41,4208 SIX FORKS  RD,RALEIGH,NC,19198812590.0
43,SLICE OF NY PIZZA,2045 CREEKSIDE LANDING DR,APEX,NC,19193870500.0
44,One Whirled Cafe,3652 Rogers Road,WAKE FOREST,NC,19195621118.0
45,Crafty Beer Shop,8450 Honeycutt Road,RALEIGH,NC,19197030874.0
46,FLYING BURRITO,4800 GROVE BARTON RD,RALEIGH,NC,19197852734.0
47,RUCKUS PIZZA PASTA &amp; SPIRITS #3,1101 MARKET CENTER  DR,MORRISVILLE,NC,19193883500.0
48,China Wok,7440-143 Louisburg RD,RALEIGH,NC,19198629898.0
49,COMFORT INN FUQUAY VARINA BREAKFAST,7616 PURFOY RD,FUQUAY VARINA,NC,19195579000.0
50,NET APP CAFE BLDG3,7301 KIT CREEK RD,MORRISVILLE,NC,19194765671.0
51,SUGARLAND,2031 CAMERON ST,RALEIGH,NC,19198352100.0
52,HWY 55 OF APEX,802 PERRY RD,APEX,NC,19193033533.0
53,Subway #41217,8410-140 Louisburg RD,RALEIGH,NC,19192660300.0
54,Michelangelos,7280 GB Alford  HWY,HOLLY SPRINGS,NC,19195574992.0
55,Mackey's Pub,2101 S Main  ST,WAKE FOREST ,NC,19195625570.0
56,POLAR ICE HOUSE,1410 BUCK JONES RD,RALEIGH,NC,19194602756.0
57,TGI Friday's,2002 Kildaire Farm RD,CARY,NC,19192338883.0
58,SAMI'S SUBS &amp; MORE,10924 LEESVILLE RD,RALEIGH,NC,19198484787.0
59,The Grille At Goodnight's & Goodnight's Comedy Club,861 W Morgan ST,RALEIGH,NC,111111111111111.0
60,FLIK INTERNATIONAL AT FIDELITY,11000 WESTON PKY,CARY,NC,19194589264.0
61,Carillon Assisted Living of Knightdale Dining,2408  HODGE RD,KNIGHTDALE,NC,19192666676.0
62,Rush Lounge,7361 SIX FORKS RD,RALEIGH,NC,19198484782.0
63,PIEBIRD,618 N PERSON ST,RALEIGH,NC,19195087612.0
64,SAS BUILDING C CAFE,820 SAS CAMPUS DR,CARY,NC,19195318651.0
65,SUBWAY #50592,601 N MAIN ST,HOLLY SPRINGS,NC,19195574411.0
66,ANZIO'S PIZZA,252 SOUTHTOWN CIR,ROLESVILLE,NC,19195548881.0
67,THAI CAFE #2,3309 ROGERS RD,WAKE FOREST,NC,19194531679.0
68,El Tapatio #4,4511 New Bern AVE,RALEIGH,NC,19192559161.0
69,Wendy's #11610583,4023 Davis DR,MORRISVILLE,NC,19194603966.0
70,Red Dragon,4051 Davis DR,MORRISVILLE,NC,19193881836.0
71,NIGHT KITCHEN BAKERY,10 W FRANKLIN STREET,RALEIGH,NC,19842328907.0
72,Harris Teeter #257 Starbucks,2080 Kildaire Farm RD,CARY,NC,19192339483.0
73,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,CARY,NC,19193712693.0
74,ACRO CAFE,11 W JONES ST,RALEIGH,NC,19197337450.0
75,BRUEGGERS BAGELS #24,6274 GLENWOOD AVE,RALEIGH,NC,19198812626.0
76,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD,RALEIGH,NC,19198484902.0
77,Cantina 2 twenty five,225 N. SALEM STREET,APEX,NC,19194463366.0
78,HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD,MORRISVILLE,NC,19193885355.0
79,WING STOP #816,7880 ALEXANDER PROMENADE PLACE,RALEIGH,NC,19192373919.0
80,CHICK-FIL-A #2181,801 VILLAGE WALK  DR,HOLLY SPRING,NC,19195670060.0
81,SMASHBURGER,6679-105 FALLS OF NEUSE ROAD,RALEIGH,NC,19198709230.0
82,Bojangles #5,3301 S Wilmington ST,RALEIGH,NC,19197724512.0
83,TROPICAL SMOOTHIE 020 NC,817 BASS PRO LN,CARY,NC,19193789333.0
84,MoonRunners Saloon,1506 US 70 HWY W,GARNER,NC,19196625119.0
85,EURO CAFE,2101 S MAIN ST,WAKE FOREST,NC,19197615002.0
86,Keith's BBQ and Catering,13037 Keith Store  RD,WAKE FOREST,NC,19196186211.0
87,TAQUERIA CINCO DE MAYO,2259 New Hope Church RD,RALEIGH,NC,19194224933.0
88,Dunkin Donuts-Baskin Robbins PC#342343,2316 Hillsborough St Ste 106,RALEIGH,NC,19198385255.0
89,LITTLE HEN,5160 SUNSET LAKE  RD,APEX,NC,19193630000.0
90,TIJUANA FLATS #138,1310 E MILLBROOK RD,RALEIGH,NC,19197906409.0
91,FRESCA CAFE' AND GELATO,302 COLONADES  WAY,RALEIGH,NC,19198518171.0
92,JASMIN BISTRO,3801 HILLSBOROUGH ST,RALEIGH,NC,19198351626.0
93,TENKO JAPAN,6325 FALLS OF NEUSE  RD,RALEIGH,NC,19198764545.0
94,WILD WING CAFE,2300 WALNUT  ST,CARY,NC,19198030578.0
95,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,RALEIGH,NC,19197550226.0
96,BISCUITVILLE #184,4305 FAYETTEVILLE RD,RALEIGH,NC,19198038112.0
97,Zoes Kitchen,1028 OBERLIN RD,RALEIGH,NC,19198380909.0
98,FRESH AND FRY SEAFOOD,2822 NEW BIRCH  DR,RALEIGH,NC,19196152898.0
99,DUNKIN DONUTS 348408,13600 NEW FALLS OF NEUSE RD,RALEIGH,NC,19195560335.0
100,THE LATIN CORNER,421 CHAPANOKE RD,RALEIGH,NC,19192648584.0
101,Shuck'em Shack,1177 TIMBER DR E,GARNER,NC,19197727035.0
102,Crazy Fire Mongolian Grill #8,7201 Old Wake Forest RD,RALEIGH,NC,19198769000.0
103,Rudinos's Pizza &amp; Grinders Sports Corner,3101-101 EDWARDS MILL RD,RALEIGH,NC,19197864235.0
104,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR,CARY,NC,19194813811.0
105,PHO CALI,3310 CAPITAL  BLVD,RALEIGH,NC,19198787898.0
106,MCDONALDS #32242,7100 GB ALFORD HWY,HOLLY SPRINGS,NC,19195524071.0
107,Arby's #6554,1031 Harrison AVE,CARY,NC,19194691887.0
108,ROLY POLY,201  E HARGETT ST,RALEIGH,NC,111111111111111.0
109,GOLDEN CHINA CHINESE RESTAURANT,2432 SW CARY PKY,CARY,NC,19193807891.0
110,Umstead Hotel & Spa Pool Bar,100 Woodland Pond DR,CARY,NC,111111111111111.0
111,Rudino's,5217 Sunset Lake RD,HOLLY SPRINGS,NC,111111111919.0
112,GINO'S PIZZA,6260 GLENWOOD AVE,RALEIGH,NC,19197837555.0
113,Capital Cabaret,6713 Mt Herman  RD,MORRISVILLE,NC,111111111111111.0
114,C. GRACE,407 GLENWOOD AVE,RALEIGH,NC,111111111111111.0
115,CAPPOLLA'S PIZZA &amp; GRILL,2462 WALNUT ST,CARY,NC,19198547777.0
116,Chick-fil-A #792,6701 FALLS OF NEUSE RD,RALEIGH,NC,19198454556.0
117,WAFFLE HOUSE #378,3909 HILLSBOROUGH ST,RALEIGH,NC,19198331247.0
118,FLASHBACKS SPORTSBAR & LOUNGE,4004 CAPITAL BLVD,RALEIGH,NC,111111111111111.0
119,KOKO's Italian Kitchen,8306 Chapel Hill RD,CARY,NC,19194613882.0
120,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST,FUQUAY-VARINA,NC,19195678272.0
121,THE GREAT,243 GRANDE HEIGHTS  DR,CARY,NC,111111111111111.0
122,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD,MORRISVILLE,NC,19194651910.0
123,RANDY'S PIZZA,2458 WYCLIFF RD,RALEIGH,NC,19193225990.0
124,RED BOWL ASIAN BISTRO,2020 BOULDERSTONE WAY,CARY,NC,19193889977.0
125,MASSEY'S OLE TIMEY HOT DOGS,107 S FIRST AVE,KNIGHTDALE,NC,
