X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER,SHAPE
-78.6493225901678,35.7888692517046,4336996,000D0B7A-3048-98E7-046FBA1DC52B6D55,SUBWAY #12460,706 W PEACE ST,RALEIGH,NC,27605,35.78886217,-78.64931998,19198340605,
-78.6744525754373,35.7896075028786,4336997,00365192-A8F6-87E1-4D85FECDC569C6AB,CHECKERS PIZZA,2810 HILLSBOROUGH ST,RALEIGH,NC,27607,35.78960042,-78.67444996,19198326522,
-78.8085277543593,35.6197061735429,4336998,003B5816-EB2D-98FB-BB9A47422343117B,AVIATOR TASTING ROOM,209 TECHNOLOGY PARK  LN,FUQUAY VARINA,NC,27526,35.61969914,-78.8085251,19195672337,
-78.7833510088331,35.9068590001956,4336999,0046D7E0-5056-A20B-FA728F89DE72F101,TAMARIND,8531-109 BRIER CREEK PKY,RALEIGH,NC,27617,35.9068519,-78.78334835,19194063473,
-78.8777100002698,35.7596536586399,4337000,004B7CC3-9291-1A30-0887F2F9A7C9FEE5,Johnny's Pizza,1763 W Williams ST,APEX,NC,27523,35.75964659,-78.87770732,111111111111111,
-78.6194949969972,35.7880952517014,4337001,0058F839-5056-A20B-FA849E6EB517DE0E,THE FALCON'S NEST AT ST. AUGUSTINE,1315 OAKWOOD AVE,RALEIGH,NC,27601,35.78808817,-78.61949239,19198217646,
-78.7833510088331,35.9068590001956,4337002,008A6B72-E823-5930-B24407ED48C781C8,ELEVATION BURGER,8301 BRIER CREEK  PKY,RALEIGH,NC,27617,35.9068519,-78.78334835,19199992774,
-78.6675567575326,35.7352288319682,4337003,00BF7B62-5056-A20B-FADB5F6951EC30EC,THE 19TH HOLE,1527 TRYON RD,RALEIGH,NC,27603,35.73522176,-78.66755414,19197729987,
-78.647305750978,35.8806502456013,4337004,00CE5345-0311-776C-22695D158EEEA36E,LATIN QUARTERS,7335 SIX FORKS  RD,RALEIGH,NC,27615,35.88064315,-78.64730313,19199008333,
-78.4897616737216,35.7987520900927,4337005,00D18CF6-A9E0-C802-4912244307982DE1,DUNKIN DONUTS/BASKIN ROBBINS #331785,7137 KNIGHTDALE BLVD,KNIGHTDALE,NC,27545,35.798745,-78.48975911,19192179603,
-78.6787257569663,35.7844868384368,4337006,00FC2D97-FE0A-549D-150427A6BFD57253,CLARK DINING HALL,221 JENSEN  DR,RALEIGH,NC,27695,35.78447976,-78.67872314,19195134680,
-78.6787257569663,35.7844868384368,4337007,00FF7E07-D5C4-3000-995FAB448FED097D,McKimmon Corner Cafe,1101 GORMAN ST,RALEIGH,NC,27695,35.78447976,-78.67872314,19195158259,
-78.579241491725,35.7988577425337,4337008,0101A22A-D384-15BD-CA44676FD691DEA0,Pizza Hut # 1101,3691 NEW BERN  AVE,RALEIGH,NC,27610,35.79885066,-78.5792389,19199008096,
-78.639435251597,35.7822167429493,4337009,010EBE88-D265-AB66-7F9392ED1ABEA2FC,DAILY PLANET CAFE,11   W JONES ST,RALEIGH,NC,27601,35.78220966,-78.63943264,19197078060,
-78.6606350865434,35.7257892573925,4337010,011A703F-D8CE-C53D-62B3073DF4809ED4,GROCERY BOY JR,1912 W GARNER RD,RALEIGH,NC,27529,35.72578219,-78.66063247,19197725018,
-78.4703964966843,35.9164899216562,4337011,011EC6C8-EDD1-F08B-9F20505CA13E6374,FITZGERALD'S SEAFOOD RESTAURANT #1,308 SOUTHTOWN DR,ROLESVILLE,NC,27571,35.91648281,-78.47039393,19195623474,
-78.6388899969932,35.733798419488,4337012,0124B480-C0F4-15B8-6D8AE96D00E0EB92,WAKE COUNTY DETENTION CENTER KITCHEN &amp; STAFF KITCHEN,3301 HAMMOND RD,RALEIGH,NC,27603,35.73379135,-78.63888739,,
-78.7259385836688,35.9087939159255,4337013,012BD35B-E1D0-BE1F-ED0468117DE14D50,PEACE CHINA,13220 Strickland  RD,RALEIGH,NC,27613,35.90878681,-78.72593594,19196769968,
-78.5795370084151,35.7672519223416,4337014,01351F31-B3E9-348D-50CFFEE9ADAB2D18,HIBACHI 88,3416 POOLE RD,RALEIGH,NC,27610,35.76724484,-78.57953442,19192311688,
-78.5450484221999,35.9648645030972,4337015,014B14FD-B51C-8ADB-46806034E1BB70BB,PDQ WAKE FOREST,11690 NORTHPARK DR,WAKE FOREST,NC,27587,35.96485738,-78.54504583,19196484221,
-78.5300003383036,35.9497630898436,4337016,01852ACE-EDC8-958E-AFD055101633F2B3,SONIC DRIVE IN #6020,1925 S MAIN ST,WAKE FOREST,NC,27587,35.94975597,-78.52999775,19195541209,
-78.8272695841757,35.7464247481959,4337017,0191C04D-5056-A20B-FA179DF377F55536,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR,APEX,NC,27523,35.74641768,-78.82726692,19193316035,
-78.6822350871347,35.9010617423732,4337018,01B874C7-5056-A20B-FAC01F14B4F6B8F2,DUCK DONUTS,8323 CREEDMOOR RD,RALEIGH,NC,27613,35.90105464,-78.68223246,19198478300,
-78.6395830807776,35.77810592216,4337019,01CD8DA3-5056-A20B-FA3443A0195B59FD,RALEIGH RAW,7 W HARGETT ST,RALEIGH,NC,27601,35.77809884,-78.63958047,19194000944,
-78.6467295838386,35.7856558327348,4337020,01F7A0CB-0C0D-0E4F-4EE88C06A8A77091,Tremor,410 GLENWOOD AVE,RALEIGH,NC,27603,35.78564875,-78.64672697,19198335535,
-78.8494825057027,35.6626713355421,4337021,0220E23A-979D-5164-7BE7FC6D0623360A,D'ANDREA'S DELI GRILL &amp; BAKERY,114 GRAND HILL PL,HOLLY SPRINGS,NC,27540,35.66266429,-78.84947984,19193212010,
